Iterasi,Akurasi,Precision,Recall,F1-Score
1,0.7846153846153846,0.7948717948717949,0.7831439393939394,0.782088122605364
2,0.8307692307692308,0.8284600389863548,0.8252895752895753,0.8266666666666667
3,0.8307692307692308,0.8325426944971537,0.8325426944971537,0.8307692307692308
4,0.8769230769230769,0.8780834914611005,0.8773674242424243,0.8768939393939394
5,0.8307692307692308,0.8296963946869069,0.830952380952381,0.8301259206462342
6,0.8615384615384616,0.8633776091081593,0.8633776091081593,0.8615384615384616
7,0.8,0.8182261208576997,0.8127394636015326,0.7998104714522625
8,0.9076923076923077,0.9081439393939394,0.9089184060721063,0.9076704545454546
9,0.8307692307692308,0.8271072796934866,0.8296332046332047,0.8281663061763999
10,0.8615384615384616,0.8509513742071881,0.8436853002070394,0.8470588235294119
