STATUS BEKERJA,UMUR,STATUS MENIKAH,IPS 1,IPS 2,IPS 3,IPS 4,IPK,STATUS KELULUSAN
1,23,0,3.1,3.06,3.0,3.23,3.0975,0
0,32,0,2.71,2.89,2.75,3.18,2.8825,0
0,27,0,2.9,2.14,2.48,2.33,2.4625,1
1,24,0,3.38,3.08,3.52,3.11,3.2725,0
0,27,0,0.33,2.9,3.16,2.35,2.185,1
0,27,0,2.17,2.66,2.55,2.0,2.3449999999999998,1
1,23,0,2.6,2.52,2.3,2.77,2.5475,0
1,25,0,2.64,2.25,2.36,2.23,2.37,1
1,32,0,2.45,2.45,2.14,1.95,2.2475,1
1,22,0,2.6,2.2,2.27,2.55,2.4050000000000002,0
0,25,0,2.55,2.14,2.7,2.42,2.4524999999999997,1
1,25,0,3.02,2.58,3.41,2.85,2.965,0
1,25,0,3.45,2.9,3.45,2.46,3.0650000000000004,0
1,24,0,3.05,3.05,2.79,2.67,2.89,0
0,24,0,2.55,2.53,3.07,2.75,2.725,1
1,24,0,3.19,3.4,2.94,3.14,3.1675,0
1,27,0,2.62,2.28,2.3,1.91,2.2775,1
1,24,0,2.71,3.05,3.04,3.14,2.9850000000000003,0
1,24,0,3.19,2.85,3.23,2.46,2.9325,0
1,23,0,3.0,2.89,3.25,2.83,2.9925,0
1,23,0,2.98,2.43,2.52,2.86,2.6975,0
0,28,0,2.9,2.19,3.16,2.92,2.7925,1
1,24,0,3.4,3.23,2.52,2.91,3.015,0
1,26,0,2.9,3.32,2.83,2.91,2.99,1
1,25,0,2.86,3.43,2.92,2.82,3.0075000000000003,1
0,26,0,2.86,2.7,2.89,2.73,2.7950000000000004,1
1,25,0,2.98,3.0,2.73,3.0,2.9275,0
1,26,0,3.24,3.38,3.44,3.3,3.34,1
0,24,0,2.86,2.75,3.48,2.83,2.98,1
1,29,1,2.67,2.89,2.66,2.45,2.6675000000000004,1
1,27,0,2.79,2.75,3.02,2.75,2.8275,0
0,30,0,2.9,2.67,3.0,2.52,2.7725,1
0,29,0,2.88,2.5,3.34,2.54,2.8149999999999995,1
1,27,0,2.88,3.48,3.17,2.5,3.0075,0
0,27,0,2.76,3.25,2.98,1.91,2.725,1
1,24,0,3.05,2.94,3.57,2.93,3.1225,0
0,26,0,3.38,2.78,3.59,3.11,3.215,1
1,23,0,2.19,2.45,1.82,2.5,2.24,0
0,26,0,2.86,2.8,2.2,2.14,2.5,1
1,23,0,2.64,2.59,3.09,3.14,2.865,0
0,27,0,2.76,2.33,3.25,2.58,2.73,1
0,30,0,2.64,3.0,2.9,2.77,2.8275,1
0,27,0,2.52,2.27,2.68,1.86,2.3325,1
1,25,0,2.57,3.02,3.13,3.25,2.9924999999999997,0
1,23,0,2.98,2.2,2.16,1.8,2.285,0
1,26,0,2.79,3.09,3.08,2.96,2.9800000000000004,0
1,23,0,3.1,3.04,3.17,2.91,3.055,0
0,24,0,2.64,1.61,1.21,0.83,1.5725,1
1,32,0,3.0,2.3,3.25,2.78,2.8325,0
1,32,0,3.02,3.63,3.42,3.37,3.3600000000000003,0
0,23,0,2.76,1.44,3.11,2.08,2.3474999999999997,1
1,24,0,2.52,2.81,3.16,2.67,2.79,1
1,23,0,3.33,3.1,3.27,3.61,3.3274999999999997,0
1,24,0,3.33,3.05,3.77,3.57,3.43,0
0,25,0,2.83,2.53,2.64,2.63,2.6574999999999998,1
0,25,0,2.81,2.86,3.2,2.04,2.7275,1
0,32,0,2.67,2.3,1.57,1.44,1.995,1
1,24,0,3.26,2.75,3.2,2.76,2.9925,0
0,25,0,2.81,1.92,2.09,1.09,1.9775,1
1,25,0,3.4,3.03,3.69,3.35,3.3674999999999997,0
1,23,0,3.02,2.88,2.45,2.14,2.6225000000000005,0
0,50,0,2.67,2.18,2.0,2.32,2.2925,1
1,24,0,3.02,3.03,3.63,3.57,3.3125,0
0,24,0,3.5,3.5,3.71,3.87,3.6450000000000005,1
0,27,0,2.57,3.39,2.6,2.73,2.8225000000000002,1
