Fold,Accuracy,Precision,Recall,F1-Score
1,0.8181818181818182,0.8786764705882353,0.9393382352941176,0.8462255358807083
2,0.8787878787878788,0.8786764705882353,1.0,0.9696969696969697
3,0.8484848484848485,0.7612781954887218,0.8161764705882353,0.7878787878787878
4,0.9393939393939394,0.7611111111111111,0.9080882352941176,0.9388888888888889
5,0.78125,0.8450980392156863,0.75,0.8423645320197044
6,0.8125,0.9705882352941176,0.78125,0.716256157635468
7,0.78125,0.8809523809523809,0.8125,0.9375
8,0.84375,0.9444444444444444,0.84375,0.875
9,0.9375,0.8450980392156863,0.78125,0.873015873015873
10,0.875,0.8174603174603174,0.875,0.8117647058823529
